skosxl:altLabel{URIRef}[2],ulan_term:1500777292,skosxl:altLabel{URIRef}[2]
skosxl:altLabel{URIRef}[3],ulan_term:1500777293,skosxl:altLabel{URIRef}[3]
skosxl:altLabel{URIRef}[4],ulan_term:1500777295,skosxl:altLabel{URIRef}[4]
skosxl:altLabel{URIRef}[5],ulan_term:1500799302,skosxl:altLabel{URIRef}[5]
skosxl:altLabel{URIRef}[6],ulan_term:1500818572-fr,skosxl:altLabel{URIRef}[6]
skosxl:altLabel{URIRef}[7],ulan_term:1500818573-nl,skosxl:altLabel{URIRef}[7]
skosxl:altLabel{URIRef}[8],ulan_term:1500818574-de,skosxl:altLabel{URIRef}[8]
skosxl:altLabel{URIRef}[9],ulan_term:1500818575-es,skosxl:altLabel{URIRef}[9]
skosxl:altLabel{URIRef}[10],ulan_term:1500818576-it,skosxl:altLabel{URIRef}[10]
skosxl:prefLabel{URIRef},ulan_term:1500062165-en,skosxl:prefLabel{URIRef}
prov:wasGeneratedBy{URIRef}[0],ulan_rev:5500062002,prov:wasGeneratedBy{URIRef}[0]
prov:wasGeneratedBy{URIRef}[1],ulan_rev:5500062003,prov:wasGeneratedBy{URIRef}[1]
prov:wasGeneratedBy{URIRef}[2],ulan_rev:5500062004,prov:wasGeneratedBy{URIRef}[2]
foaf:focus{URIRef},ulan:500022428-agent,foaf:focus{URIRef}
entity,ulan:500022428,entity
