@id,http://id.worldcat.org/fast/29048,prop,http://id.loc.gov/authorities/names/n78095332,http://viaf.org/viaf/96994048,http://babelnet.org/rdf/data/s00008556n?output=xml,http://dbpedia.org/resource/William_Shakespeare
207,,Ndc2555d26a894b18afd570dc8d83ef5d,Ndc2555d26a894b18afd570dc8d83ef5d,,,
208,,Ndf83d57c113a4874a78922bc98cba845,Ndf83d57c113a4874a78922bc98cba845,,,
209,,Ne113bb15b275470fa7c47891dd715951,Ne113bb15b275470fa7c47891dd715951,,,
210,,Ne2114ddb52834a6c94add16167a0f343,Ne2114ddb52834a6c94add16167a0f343,,,
211,,Ne22cad898dd04a27b01c516023ca675c,Ne22cad898dd04a27b01c516023ca675c,,,
212,,Ne2963339bf82439880251e3723491a23,Ne2963339bf82439880251e3723491a23,,,
213,,Ne3885e6408324a80a97e9744a830c392,Ne3885e6408324a80a97e9744a830c392,,,
214,,Ne7f0e5fe60ee46c1be38b2eef5b5e299,Ne7f0e5fe60ee46c1be38b2eef5b5e299,,,
215,,Neb6eef02182145c086a04d226956b207,Neb6eef02182145c086a04d226956b207,,,
216,,Necc2b220da92487e96af35482ad7594e,Necc2b220da92487e96af35482ad7594e,,,
217,,Nf2bc4ed13ae440f183d2547153a6485d,Nf2bc4ed13ae440f183d2547153a6485d,,,
218,,Nf9a1e813aafd47cf94e08e9f2ecda63b,Nf9a1e813aafd47cf94e08e9f2ecda63b,,,
219,,http://id.loc.gov/rwo/agents/n78095332,http://id.loc.gov/rwo/agents/n78095332,,,
220,,http://id.loc.gov/authorities/names/collection_LCNAF,http://id.loc.gov/authorities/names/collection_LCNAF,,,
221,,http://id.loc.gov/authorities/names/collection_NamesAuthorizedHeadings,http://id.loc.gov/authorities/names/collection_NamesAuthorizedHeadings,,,
222,,http://id.loc.gov/authorities/names,http://id.loc.gov/authorities/names,,,
223,,"[William Shakespeare (1564-1616) was an English poet, playwright, and actor.]","[William Shakespeare (1564-1616) was an English poet, playwright, and actor.]",,,
224,,https://id.loc.gov/authorities/subjects/sh85120820,https://id.loc.gov/authorities/subjects/sh85120820,,,
225,,madsrdf:Authority,madsrdf:Authority,,,
226,,madsrdf:PersonalName,madsrdf:PersonalName,,,
227,,skos:Concept,skos:Concept,,,
228,,"Шекспир, Вильям, 1564-1616","Шекспир, Вильям, 1564-1616",,,
229,,"Шекспир, Уильям, 1564-1616","Шекспир, Уильям, 1564-1616",,,
230,,"Шекспир, Уйлям, 1564-1616","Шекспир, Уйлям, 1564-1616",,,
231,,"שייקספיר, וו., 1564-1616","שייקספיר, וו., 1564-1616",,,
232,,"שייקספיר, וויליאם, 1564-1616","שייקספיר, וויליאם, 1564-1616",,,
233,,"שיקספיר, ויליאם, 1564-1616","שיקספיר, ויליאם, 1564-1616",,,
234,,"שכספיר, ויליאם, 1564-1616","שכספיר, ויליאם, 1564-1616",,,
235,,"שכספיר, וילים, 1564-1616","שכספיר, וילים, 1564-1616",,,
236,,"שכספיר, ו׳, 1564-1616","שכספיר, ו׳, 1564-1616",,,
